concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, national, land cover",,Philippines,,,,60.0,100.0,,,,,"A forest is best described as an ecosystem wherein trees are the dominant life form, as a community of plants and animals interacting with one another and its physical environment, and as consisting of trees with overlapping crown of 60-100% forest cover, as defined by the United States National Veg"
"basic terms, forest/forest land, national, land cover",NIR,Poland,2009,0.1,,,,2.0,,,,"Tree height > 2m, area > 0.1 ha"
"basic terms, forest/forest land, national, land cover",,Poland,,0.1,,,,,,,,Continuous area of at least 0.1 ha covered by forest vegetation (forest stands) = trees and shrubs with herbaceous ground cover
"basic terms, forest/forest land, national, land cover",?,Poland,1991,0.1,,,,,,,,"Forest Act of 28 September 1991. (OJ 1991 No 101 item. 444) for the forest land is considered a homogeneous area of at least 0.10 ha, which is covered by forest vegetation (forest crop), i.e. trees, shrubs and forest undergrowth or temporarily deprived of that what is intended for forest production("
"basic terms, forest/forest land, national, land cover",Portuga,,2010,,,,,,,20.0,,"l Extent of land with an area ≥ 5 000 m2 and a width ≥ 20 m, with a degree of covered (defined as the ratio between the area of horizontal projection of the crown and the total area of the plot) ≥ 10% which reveal the presence of trees that forest for their characteristics or form of exploitation ha"
"basic terms, forest/forest land, national, land cover",NRI and NFI,Portugal,2009,0.5,,10.0,,5.0,,20.0,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha, width > 20 m"
"basic terms, forest/forest land, national, land cover",,Portugal,2010,,,,,,,20.0,,"Extent of land with an area ≥ 5 000 m2 and a width ≥ 20 m, with a degree of covered (defined as the ratio between the area of horizontal projection of the crown and the total area of the plot) ≥ 10% which reveal the presence of trees that forest for their characteristics or form of exploitation has "
"basic terms, forest/forest land, national, land cover",,Oman,1996,0.25,,,,,,,,"The total forest vegetation mentioned in the Forest Management Plans, both state-owned or private property, constitute the national forest area. Under the Forestry Code/1996 a forest area is defined as an area larger than 0.25 ha and covered with forest trees; the current forestry code refers to for"
"basic terms, forest/forest land, national, land cover",,Oman,2000,0.25,,,,,,,,land covered by forest vegetation with an area of more than 0.25 ha. For FRA 2000 - Source: UN/ECE 2000 p 85 and
"basic terms, forest/forest land, national, land cover",,Oman,2011,0.5,,10.0,,,,,,"Forest is a land covered 0.5 ha, 10% crown cover and 5 m height. SILVA RNP, 2011"
"basic terms, forest/forest land, national, land cover",,Oman,,0.25,,,,,,,,"According to the definition given in our “Forest Code”, forest is considered land covered by forest vegetation with an area of more than 0.25 ha. In order to approximate the TBFRA definition of the forest, the item “Forest” includes lands needed for culture (nurseries, orchards...), for production ("
"basic terms, forest/forest land, national, land cover",,Russian Federation,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover =30%, minimum tree height = Varies"
"basic terms, forest/forest land, national, land cover",,Rwanda,2006,0.5,,,,,,,,In the humid region forest are areas larger than 0.5 ha with tree cover more than 20 % and trees are > 7m. In the dry region (Akagera) this is > 5m. Young forest plantation and coppices are only found in the humid area. Young forest plantation have trees less than 7 m and cover from 10- 40 % or tree
"basic terms, forest/forest land, national, land cover",,Rwanda,2010,0.5,,,,,,,,"A land with 0.5 ha or more covered with trees higher than 7 meters and a canopy cover of more than 10%, or tree stands which have the potential to reach these thresholds in situ"
"basic terms, forest/forest land, national, land cover",,Rwanda,2010,0.5,,,,,,,,"An ecosystem dominated by trees (defined as perennial woody plants taller than 5 meters at maturity), where the tree crown cover (or equivalent stocking level) exceeds 10% of the ground surface and the area is larger than 0.5ha"
"basic terms, forest/forest land, national, land cover",,Rwanda,2012,0.25,,,,,,,,"A group of trees higher than 7 m and a canopy cover of more than 10 %, or trees able to reach these thresholds in situ on a land of about 0.25 ha or more"
"basic terms, forest/forest land, national, land cover",Slovak Republic,,2011,0.5,,,,5.0,,,,"A forest is defined as land with tree crown cover of more than 10%, an area of more than 0.5 ha and an average width of more than 20 m. Trees should be able to reach a minimum height of 5 m at maturity in situ. FOREST EUROPE, UNECE AND FAO, 2011. Ministry of Agriculture of the Slovak Republic, 2009"
"basic terms, forest/forest land, national, land cover",Slovak Republilc,,2009,0.3,,,,,,,,"National definition: Forest is land spanning more than 0.3 ha with trees taller than 5 m and a canopy cover of more than 20%, or trees able to reach these thresholds in situ. Ministry of Agriculture of the Slovak Republic, 2009"
"basic terms, forest/forest land, national, land cover",,Slovenia,2007,0.25,,,,5.0,,,,forest is land covered with forest trees in the form of stands with minimal tree height 5 m and with minimal area of 0.25 ha
"basic terms, forest/forest land, national, land cover",NIR,Slovenia,2008,0.5,,,,,,,,Area > 0.5 ha
"basic terms, forest/forest land, national, land cover",,Slovenia,2009,0.25,,,,,,,,"The national forest inventory defines forest as: (a) A plot of land overgrown with forest trees in the form of stands, which can reach a height of at least 5 m and sized to at least 0.25 ha (b) A plot of agricultural land in transition to forest land sized to at least 0.25 ha that has not been used "
"basic terms, forest/forest land, national, land cover",,Slovenia,,0.05,,,,,,,,"A land overgrown with forest trees - stands or other plants - which provides any of the functions of forests. Includes: land defined as forests in the forest management plan, and forest infrastructure not allocated into a separate lot. Excludes: individual trees and groups of forest trees smaller th"
"basic terms, forest/forest land, national, land cover",,Mali,,,,20.0,,5.0,10.0,,,Min. av. height 5-10 m. Canopy closure 20%. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6
"basic terms, forest/forest land, national, land cover",,South Africa,1996,,,70.0,,,,,,"Tree canopy cover >70%. A multi-strata community with interlocking canopies, composed of canopy, subcanopy, shrub and herb layers. Excludes planted forests. Thompson. 1996? www.sac.co.za/geoinfo/ field_guide.htm"
"basic terms, forest/forest land, national, land cover",,South Africa,1999,,,,,10.0,,,,"Forest is a continuous stand of trees at least 10m tall, with their crowns interlocking. It is generally multi-layered vegetation unit dominated by trees (largely evergreen or semi-deciduous) whose combined strata have overlapping crowns (i.e. crown cover is > 75 percent). (Bailey, et.al., 1999"
"basic terms, forest/forest land, national, land cover",,South Africa,,,,,,20.0,,,,"Closed canopy with three or more tree layers; many species and age classes; typically 5 to 20 m tall. Fires penetrate only rarely. Note: This definition of Forest appearst to exclude Plantations, Woodlands, and Wooded Grasslands"
"basic terms, forest/forest land, national, land cover",South,Sudan,,,,15.0,,,,,,Global Forest Watch South Sudan Product using 15% canopy cover
"basic terms, forest/forest land, national, land cover",NIR,Spain,2009,,,10.0,,,,,,Crown cover > 10%
"basic terms, forest/forest land, national, land cover",KP,Spain,2010,1.0,,20.0,,3.0,,,,"Crown cover > 20%, tree height > 3m, area > 1.0 ha"
"basic terms, forest/forest land, national, land cover",NFI,Spain,2010,0.25,,5.0,,,,20.0,,"Crown cover > 5%, area > 0.25 ha, width > 20 m"
"basic terms, forest/forest land, national, land cover",KP,Sri Lanka,2010,0.05,,20.0,,3.0,,,,"is now defined as follows: a minimum land area of 0.05 hectares with a minimum tree canopy cover of 20% and a canopy height of 3 m. The definition does not specify whether species such as rubber, bamboo and palm trees are included. and"
"basic terms, forest/forest land, national, land cover",,Sudan,,,,40.0,,10.0,,,,Min. av. height 10 m. Canopy closure 40 %. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6
"basic terms, forest/forest land, national, land cover",,Sweden,2000,0.25,,,,,,,,"All land with a tree crown cover of more than 20 percent plus have the land with a tree crown cover ranging from 1 percent to 20 percent, and area more than 0.25 ha. For FRA 2000 - Source: UN/ECE 2000 p 87"
"basic terms, forest/forest land, national, land cover",NIR,Sweden,2009,0.5,,10.0,,5.0,,,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",,Sweden,2009,,,,,5.0,,,,"Types of land under the Forestry Act Determined for the traditional types of land in productive forest, bog, mountain pine forests and other land. Forest land: Land bearing forest or without measures to increase production has the potential to bear forest with a height of 5 m and with a crown cover "
"basic terms, forest/forest land, national, land cover",NFI,Sweden,2010,0.25,,,,,,,,Area > 0.25 ha? (Source gives >0.25 m as tree height
"basic terms, forest/forest land, national, land cover",,Switzerland,1997,,,,,3.0,,,,"Focuses on growing stock and applies to measurable criteria - width of forest area, crown closure and top height. Width of growing stock with canopy closure = 100% is at least 25 m and with crown closure = 20% at least 50 m. Canopy closure between 20 % and 100 % depending on width of growing stock. "
"basic terms, forest/forest land, national, land cover",,Switzerland,2006,,,,,3.0,,,,"Forest is land covered by trees with a minimum height of 3 m and the minimum width of the tree stand is 50 m. In addition, the tree crowns have to cover at least 20% of the area. Swiss Federal Research Institute (WSL) and Swiss Forest Monitoring, 2006"
"basic terms, forest/forest land, national, land cover",,Tajikistan,2010,,,10.0,,,,,,"forests - an ecosystem with a minimum of 10 percent crown cover of forest trees/or bamboos generally associated with wild flora, fauna, natural regeneration and natural soil conditions that is not subject to agricultural practices. Forestry Code of Tajikistan"
"basic terms, forest/forest land, national, land cover",Tanzania,,2002,,,10.0,,,,,,"''forest'' means an area of land with at least 10% tree crown cover, naturally grown or planted and or 50% or more shrub and tree regeneration cover and includes all forest reserves of whatever kind declared or gazetted under this Act and all plantations"
"basic terms, forest/forest land, national, land cover",Tanzania,,2002,,,10.0,,,,,,"Land having10 percent tree cover or 50 percent shrub or tree regeneration cover, to be designated as a national forest reserve"
"basic terms, forest/forest land, national, land cover",Tanzania,,2002,,,10.0,,,,,,"Under the Forest Act/Law, forests are defined as “an area of land with at least 10% tree crown cover, naturally grown or planted and or 50% or more shrub and tree regeneration cover and includes all forest reserves of whatever kind declared or gazetted under the forest act and all plantations”"
"basic terms, forest/forest land, national, land cover",Tanzania  KP,,2008,1.0,,30.0,,,,,,"a forest is areas with trees of a height of more than 3m, with a crown cover of 30%, covering one hectare of land. (In a communication in October 2008 between Sangito Sumari, Managing Director of GreenResources Ltd and Dr Tango, Ministry of National Resources and Tourism, Tanzania, a definition of 2"
"basic terms, forest/forest land, national, land cover",Tanzania ?,,2007,1.0,,,,,,,,Cover = 30%; Area = 1 ha; Tree height = 2 m
"basic terms, forest/forest land, national, land cover",Tanzania,,,,,60.0,,,,,,Closed Forest) Trees 8 m and canopy closure 60%. No figures given for open forest. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6
"basic terms, forest/forest land, national, land cover",Turkey,,1937,5.0,,,,,,,,"The first Forest Code defined forests as “areas covered by a collection of trees and shrubs grown either naturally or cultivated by humans, and producing woody materials or any kind of forest yield”. This definition excluded steppes, city parks, thorny areas, and areas of less than 5 ha that were no"
"basic terms, forest/forest land, national, land cover",Turkey,,2000,3.0,,,,,,,,"All tree and tree formations communities together with their land are forest. Except for land covered with steppe vegetation, marshes and wetlands covered with buses, city park areas, cemeteries, private lands with tree cover which is not grown in surrounding forests naturally, land out of forest bo"
"basic terms, forest/forest land, national, land cover",Turkey,,2009,,,11.0,100.0,,,,,"A forest ecosystem is a natural unit consisting of all plants of which the main element is forest trees, animals and micro-organisms (biotic factors) in an area functioning together with all of the non-living physical (abiotic factors) factors of the environment. …The forest area in terms of crown d"
"basic terms, forest/forest land, national, land cover",Turkey,,2010,0.5,,,,,,,,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. FRA and LULUCF. ’sPost-2012NegotiatiForestry.pdf"
"basic terms, forest/forest land, national, land cover",Turkey,,2011,0.5,,,,5.0,,,,"A forest is defined as land with tree crown cover of more than 10%, an area of more than 0.5 ha and an average width of more than 20 m. Trees should be able to reach a minimum height of 5 m at maturity in situ. FOREST EUROPE, UNECE AND FAO, 2011"
"basic terms, forest/forest land, national, land cover",,Uganda,2008,,,30.0,,5.0,,,,"An area of at least one hectare of land with a minimum tree canopy cover of 30% and a minimum tree potential height of 5 metres (Adapted from UNFCCC, 2001"
"basic terms, forest/forest land, national, land cover",,Uganda,2017,,,40.0,,,,,,Woodland. “Wooded areas where trees and shrubs are predominant. There are wet and dry types. The wet type occurs as a zone along wetlands (riverine forest) and the dry type is found on grass-covered upland areas. To qualify as woodland the average height of the trees must exceed 4 m.” Woodland can b
"basic terms, forest/forest land, national, land cover",KP,Uganda,,1.0,,30.0,,5.0,,,,Uganda has defined and communicated the national forest thresholds as land which has: • Minimum area of 1 hectare • Minimum tree crown cover of 30 %; and • A minimum height of 5 meters at maturity
"basic terms, forest/forest land, national, land cover",,Uganda,,,,40.0,,,,,,Tropical high forest. Min. canopy closure 40%. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6
"basic terms, forest/forest land, national, land cover",,Ukraine,2006,0.1,,,,,,,,"In Ukraine's forest are forest areas, including those protective plantings linear type, area of not less than 0.1 ha. In Ukraine the forest area does not include: green spaces within settlements (parks, gardens, squares, boulevards, etc.) that are not included in the prescribed manner to the forest;"
"basic terms, forest/forest land, national, land cover",,United Kingdom,2000,0.25,,,,,,,,Forest 20 % and 0.25 ha. For FRA 2000 - Source: UN/ECE 2000 p 90
"basic terms, forest/forest land, national, land cover",,United Kingdom,2006,,,25.0,,5.0,,,,"Woodland is defined as an area of trees, where a tree is a woody species capable of achieving >5m in height and 25% canopy cover under favourable growing conditions"
"basic terms, forest/forest land, national, land cover",NIR and NFI,United Kingdom,2009,0.1,,20.0,,2.0,,20.0,,"Crown cover > 20%, tree height > 2m, area > 0.1 ha, width > 20 m"
"basic terms, forest/forest land, national, land cover",,United Kingdom,2009,0.5,,,,,,,,"For the National Forest Inventory (2009-2014), the definition of forest or woodland as an area of tree covered land greater than 0.5ha (about 1.25 acres) and at least 20 m wide whose “canopy cover” or “canopy closure” extends to 20% or more of the land area (or the potential to achieve this).In othe"
"basic terms, forest/forest land, national, land cover",,United Kingdom,2010,2.0,,20.0,,,,,,"For the National Inventory of Woodland, forest is defined as areas with a canopy cover of 20% or more (or the potential to achieve this) and over 50 m in width. The NIWT woodland map aimed to include all areas satisfying this definition and with a minimum area of 2.0 ha or over. Woodland area from 0"
"basic terms, forest/forest land, national, land cover",,United Kingdom,,,,,,5.0,,,,"Woodland) vegetation dominated by trees that are more than 5 m high when mature, which form a distinct, although sometimes open canopy which has a cover of greater than 20%"
"basic terms, forest/forest land, national, land cover",,Uruguay,2003,0.25,,,,,,,,Minimum area = 0.25 ha
"basic terms, forest/forest land, national, land cover",USA,,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover =30%, minimum tree height = Varies"
"basic terms, forest/forest land, national, land cover",USA-FED-Census Bureau1870,,,16.188,,,,,,,,Woodland over 40 acres of forest per square mile. Distribution of woodland within the territory of the U.S. (1873) – See images 49-60
"basic terms, forest/forest land, national, land cover",USA-FED-DA-SCS,,,,,25.0,,,,,,"Lands with at least 25 percent tree canopy cover or lands at least 16.7 stocked by forest trees of any size. Source: USDA- Soil Conserv. Serv. 1977. INTERA -FS/S'CS Agreement-Inventory, Appraisal, and Assessment Responsibilities. Memo dated 1/17/77. Note: this was an attempt to resolve differences i"
"basic terms, forest/forest land, national, land cover",USA-FED-DC-NOAA ?,,2007,,,,,5.0,,,,Areas dominated by trees generally greater than 5 meters tall and greater than 20 percent of total vegetation cover. and www.csc.noaa.gov/crs/lca/ccap.html
"basic terms, forest/forest land, national, land cover",USA-FED-DI-FWS,,,,,,,6.0,,,,Woody vegetation greater than 6 meters in height
"basic terms, forest/forest land, national, land cover",USA-FED-DI-GS-NLCD,,1992,,,,,6.0,,,,"Forested Upland - Areas characterized by tree cover (natural or semi-natural woody vegetation, generally greater than 6 meters tall); tree canopy accounts for 25-100 percent of the cover NLCD 92"
"basic terms, forest/forest land, national, land cover",USA-FED-DI-NBS/NPS,,1994,,,60.0,100.0,5.0,,,,Areas with tree 5 m in height or more and with crowns interlocking (60-100% crown cover). (TNC-NBS/NPS. 1994
"basic terms, forest/forest land, national, land cover",USA-FED-EPA,,,,,25.0,,,,,,Natural) Forested - A class of vegetation dominated by trees generally forming 25% canopy cover. MRLC
"basic terms, forest/forest land, national, land cover",USA-FED-EPA,,,,,,,10.0,,,,Vegetative communities comprised principally of trees potentially over 10m in height and typically characterized by closed or multi-layered canopies
"basic terms, forest/forest land, national, land cover",,Vanuatu,,,,,,10.0,,,,"Tree canopy is greater than 10 m in height. Crowns are touching or overlapping. Ground layer not visible on airphotos. Source: Bellamy, J.A. Vanuatu Resource Information System. VANRIS Handbook. Via Adam Gerrand"
"basic terms, forest/forest land, national, land cover",Vietnam,,1998,,,30.0,,,,,,"A biological community (including tree or bamboo dominant) which have a large area and a determine density so that relation between the biological community and the environment , and between the diverse composition of the biological community for having an forestry environment different with the out"
"basic terms, forest/forest land, national, land cover",Vietnam KP,,,0.5,,30.0,,,,,,forest is: (i) an area of at least 0.5 ha; with (ii) a minimum crown cover of 30%; and (iii) a minimum tree height at maturity of 3m
"basic terms, forest/forest land, national, land cover",,Yemen,,3.0,,,,,,,,"Local Arabic term for Forests: Ghabat or Ahraj) - Piece of land covered a vegetation in which trees (not only fruit trees) are predominant(over 50%), and with at least 3 ha of continuously forested area, and with a tree crown cover equal or superior to 10%. Mohammed Ellatifi, m.ellatifi@ellatifi.8m."
"basic terms, forest/forest land, national, land cover",,Zimbabwe,2002,,,80.0,,15.0,,,,"Natural moist forest Tree height >15m, canopy cover >80%"
"basic terms, forest/forest land, national, land use",,Armenia,2005,1.0,,,,,,10.0,,"interconnected and interacting integrity of biological diversity dominated by tree-bush vegetation and of components of natural environment on forest lands or other lands allocated for afforestation with the minimal area of 0,1 ha, minimal width of 10 m and with tree crowns covering at least 30% of "
"basic terms, forest/forest land, national, land use",KP,Belarus,2006,0.1,,,,,,,,"Use Min. Area (ha) = 0.1 Min. Crown Cover (%) = 30 Min. Tree Height (m) = Min. Strip Width (m) = ns National Forest Legislation defines forested lands as forested lands of the forest fund occupied by young forest of timber species with stand density of 0.4 and higher, and stands of other age groups "
"basic terms, forest/forest land, national, land use",Bosnia,,2001,0.1,,,,,,,,"Forest Law, land covered by forest trees in the form of stands on an area bigger than 0.1 hectare is considered forest. Separated groups of forest trees on an area smaller than 0,1 hectare, forest nurseries, windscreen zones and parks in populated areas are not considered forests. Land where forests"
"basic terms, forest/forest land, national, land use",,Bosnia and Herzegovina,2013,0.16,,,,5.0,,20.0,,"Forests (definitions) Including all areas covered with forest tree species, minimum (0.16 ha, minimum width 20 m) with minimum crown coverage 20%, whatever age, or origin of the tree. Growth more than 5 m in height. Forest including areas temporarily unstocked areas (with crown cover less than 20%) "
"basic terms, forest/forest land, national, land use",KP,Bulgaria,2007,0.1,,10.0,,5.0,,,,"“Area over 0.1 ha, covered with forest tree species higher than 5 meters and tree crown cover over 10% or with trees which can reach these parameters in natural environment. Forests are also: 1. areas which are in a process of recovering and are still under the parameters, but it is expected to reac"
"basic terms, forest/forest land, national, land use",,Cameroon,1994,0.0,,,,,,,,"Cameroon is based on the 1994 Forest Code, in which community forests are defined as forest areas in the ‘non-Permanent Forest Domain’ (NPFD), a land use designation that permits timber extraction, agriculture, mining, and other utilisation activities. Each community forest must not exceed 5,000 hec"
"basic terms, forest/forest land, national, land use",,Colombia,2014,1.0,,30.0,,,,,,"For the purposes of the National REDD + Strategy (ENREDD +), and in particular for the construction of this FREL, forest is defined as: Land mainly covered by trees which might contain shrubs, palms, guaduas, grass and vines, in which tree cover predominates with a minimum canopy density of 30%, a m"
"basic terms, forest/forest land, national, land use",,Cyprus,2002,1.0,,,,,,,,"It corresponds to FRA definition except the threshold value for minimum area, which is 1 ha, with trees higher than 5 m and a crown cover of more than 10%, or trees able to reach these thresholds in situ. Land predominantly under agricultural or urban use not included. Old definition: Forest Land wi"
"basic terms, forest/forest land, national, land use",Czech Republic,,1997,0.01,,,,,,20.0,,"Land destined to fulfill the forest functions, that is: (a) land with forest stands and land after clear cutting ready for reforestation, forest line and soft road of a width less than 4 m; (b) forest roads, water surfaces, land above timber line and other land serving for forest management. Minimum"
"basic terms, forest/forest land, national, land use",Czech Republic,,2004,0.01,,,,,,20.0,,"Forest land: land with forest stands and land after cutting ready for reforestation, forest line and soft roads of width less than 4 m. Forest roads, water surfaces, land above timber line and other land serving for forest management. Minimum area is 0.01 ha and with a minimum width of 20 m. NIL def"
"basic terms, forest/forest land, national, land use",Czech Republic,,,0.01,,,,,,20.0,,"definition of forest is given by law: ""Forest land is land destined to fulfil the forest functions that is: land with forest stands and land after clear cutting ready for reforestation, forest line and soft road of a width less than 4 m; forest roads, water surfaces, land above timber line and other"
"basic terms, forest/forest land, national, land use",,Denmark,1998,0.5,,,,,,,,"More than 0.5 ha, broader than 30 m, covered by tree-species which are or is able to be more that 6 m's in height. (From: PMP@sns.dk Date: Tue, 29 Sep 1998 09:31:59 +0100). Note: at first glance this appears to be a land cover description, but subsequent definitions of afforestation and reforestatio"
"basic terms, forest/forest land, national, land use",KP,Denmark,2006,0.5,,,,,,20.0,,"Use Min. Area (ha) = 0.5 Min. Crown Cover (%) = 10 Min. Tree Height (m) = 5 Min. Strip Width (m) = 20 , (2006) In addition, the forest area includes temporarily unstocked areas, smaller open areas in the forest needed for management purposes and fire breaks. Forests in national parks, reserves, or a"
"basic terms, forest/forest land, national, land use",,Denmark,2011,0.5,,,,5.0,,,,"Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. Areas with agricultural production and urban land are not included.FOREST EUROPE, UNECE AND FAO, 2011"
"basic terms, forest/forest land, national, land use",,Denmark,,0.5,,,,,,,,Areas covered with species capable of producing wood that grow to a height of more than 6 m. Forest or plantation shall be more than 0.5 ha in size. Forest area should be wider than 20 m (no hedgerows) although narrow sections are allowed as part of a larger forest. The forest area has -- or is expe
"basic terms, forest/forest land, national, land use",,Estonia,2002,5.0,,,,,,,,"By legal definition, ""forest"" means a site of woody vegetation with an area of at least 0,5 ha, and at least one of the following requirements: Trees with the height of at least 1,3 m and with the canopy coverage of at least 30 %. If the site is managed for obtaining timber or other forest products"
"basic terms, forest/forest land, national, land use",,Estonia,2005,0.1,,30.0,,,,,,"Forest land (= productive forest land, National definition) Minimum area 0.1 ha and 30% crown cover, with height more than 1.3 m, with average annual productivity more than 1 m3/ha of stem wood (incl. temporarily unstocked areas). Pärt E., Adermann V., Merenäk M., 2010"
"basic terms, forest/forest land, national, land use",,Estonia,2006,0.1,,,,,,,,"a plot of land with an area of at least 0.1 hectares and woody plants with the height of at least 1.3 metres and with the canopy density of at least 30 per cent grow there. The land of yards, residential land, parks, cemeteries, green areas, berry gardens, orchards, forest nurseries, gardening centr"
"basic terms, forest/forest land, national, land use",,Estonia,2010,0.5,,30.0,,5.0,,,,"Forest land (reference definition, applied parallel with National definition since 2005) Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ (incl. temporarily unstocked"
"basic terms, forest/forest land, national, land use",,Estonia,,1.0,,,,1.3,,,,"Land which fulfils at least one of the following: 1) Trees are >1.3 m high, crown density is >30%; 2) Land is or it is intended to be managed to get timber and other forest products or where trees are conserved for use in other ways (nature conservation, environment protection, sanitary protection, "
"basic terms, forest/forest land, national, land use",FIJI,Fiji,2016,0.5,,,,,,,,"“forest” includes but is not limited to— (a) land spanning more than 0.5 hectares with trees higher than 5 metres and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ; (b) areas with bamboo and forest palms provided that height and canopy cover criteria are met"
"basic terms, forest/forest land, national, land use",,Finland,2000,0.5,,,,,,,,"Finland adopts two definitions of forests: one is the FRA FAO 2000 definition: “Forest is land spanning more than 0.5 ha with trees higher than 5 m and a canopy cover of more than 10%, or trees able to reach these 5 m thresholds in situ. It does not include land that is predominantly under agricultu"
"basic terms, forest/forest land, national, land use",,France,2011,20.235,,,,,,,,"Forest: Wooden area of 50 acres with trees able to reach a height greater than five meters at maturity in situ, a of more than 10% and a width of at least 20 meters. Areas temporarily cleared or regenerating forests are classified as though they covered less than 10% during the inventory. Note: popl"
"basic terms, forest/forest land, national, land use",,Greece,1992,0.5,,,,,,,,"Forest Land includes: (a) areas larger than 0.5 ha or strips more than 30 m wide with tree crown cover (stand density) of more than 10% of the area, or areas with 250 trees of reproductive age per hectare, able to produce wood or other products or services and are not used for any other land-use (b)"
"basic terms, forest/forest land, national, land use",,Greece,1997,0.5,,,,,,,,"Areas with 0.5 ha or 30cm (30 m?) strips with a tree crown closure that covers 10% of the area, or areas with 250 trees of a regeneration size not used for other purposes, and which are able to produce forest products or/and other services. Includes areas where trees have been removed with a crown c"
"basic terms, forest/forest land, national, land use",,Greece,2001,0.5,,,,,,,,"NATIONAL DEFINITIONS. Area with 0.5 ha or 30 m strips with a tree crown closure that covers 10% of the area, or areas with 250 trees of a regeneration size, not used for other purposes or/and other services. Area where trees have been removed with a crown closure less than 10% and they have not been"
"basic terms, forest/forest land, national, land use",,Greece,2002,0.05,,,,,,,,"1) Areas with 0.05 ha or 30 cm (30 m?) strips with a tree crown closure that covers 10% of the area, or areas with 250 trees of regeneration size not used for other purposes or/ and other services. 2) Areas where trees have been removed with a crown closure less than 10% and that have not been used "
"basic terms, forest/forest land, national, land use",,Greece,2008,0.5,,,,,,,,"Includes: (a) areas larger than 0.5 ha or strips more than 30 m wide with tree crown cover (stand density) of more than 10% of the area, or areas with 250 trees of reproductive age per hectare, able to produce wood or other products or services and are not used for any other land-use (b) areas where"
"basic terms, forest/forest land, national, land use",,Greece,2013,0.5,,10.0,,,,,,NEW DEFINTION: Forest is a land with 10% crown cover with minimum height of trees of 5 m at maturity (in situ); areas of approximately 0.5 ha or strips with widths of 30 m (with tree canopy cover of 10%); areas not used for any purpose other than production of wood. Galatsidas S. 2001
"basic terms, forest/forest land, national, land use",,Hungary,,0.15,,,,,,,,"Biocenosis formed of arborescent plants and associated live beings (forest biocenosis) together with its soil, irrespective of whether the growing stock or other components of the biocenosis is temporarily missing, minimum size >0.15 ha for forest land"
"basic terms, forest/forest land, national, land use",,Hungary,,0.15,,,,,,,,"Area of 0.15 ha or more covered with wood – including land with spontaneous afforestation, land temporarily utilized for other purposes - together with glades and fire strips located in it. Includes forest plantations (seed sowing, planting or coppice sprouting) of 0.15 ha or more. Includes: Forest "
"basic terms, forest/forest land, national, land use",,Iceland,2010,0.5,,,,2.0,,20.0,,"Forest land: All land, not included under Settlements, presently covered with trees or woody vegetation more than 2 m high, crown cover of minimum 10% and at least 0.5 ha in continuous area and minimum width 20 m and also land which currently fall below these thresholds, but in situ expected to reac"
"basic terms, forest/forest land, national, land use",,Ireland,2014,0.1,,,,,,,,"“Forest” means land under trees with— (a) a minimum area of 0.1 hectare, and (b) tree crown cover of more than 20 per cent of the total area, or the potential to achieve this cover at maturity, and includes all species of trees"
"basic terms, forest/forest land, national, land use",,Italy,2007,0.5,,10.0,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. May consist either of closed forest formations where trees of various stories and undergrowth cover a high proportio
"basic terms, forest/forest land, national, land use",,Latvia,,0.1,,,,7.0,,,,The forest definition is not included in Forest Act. State Land Service for land use inventory is applying the following definition of forest and forest land: Land with tree crown cover of more than 20% and area of more than 0.1 ha. The trees should be able to reach a minimum height of 7m at maturit
"basic terms, forest/forest land, national, land use",KP,Liberia,,1.0,,30.0,,,,,,"Liberia is proposing a forest definition that consists of a minimum canopy cover of 30%, trees greater than 5 meters, and a minimum mapping unit of 1 hectare"
"basic terms, forest/forest land, national, land use",,Lithuania,2001,0.1,,,,,,,,"Forest –a land area not less than 0.1 hectare in size covered with trees, the height of which in a natural site in the maturity age is not less than 5 meters, other forest plants as well as thinned or vegetation-lost forest due to the acts of nature or human activities (cutting areas, burnt areas, c"
