title_1,title_2,title_3,title_4,bold_terms,sources,urls,references,definition,organization,country,year
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Hawaii-Kauai Co. 1988,http://www.fs.fed.us/pnw/pubs/rb156.pdf,,Land at least 10 percent stocked with trees and not now developed for nonforest use; also includes land 50 percent or more covered by shrubs. The minimum area recognized as forest land is 1 acre. This land includes both timberland and other forest land (Buck et al. 1988,USA-STATE-Hawaii-Kauai Co,United States,1988
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Idaho,http://www2.state.id.us/tax/propertytax/PTpdfs/revisedforestlanddesign.pdf,,Forestland means privately owned land being held and used primarily for the continuous purpose of growing and harvesting trees of a marketable species,USA-STATE-Idaho,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Idaho-1974,https://adminrules.idaho.gov/rules/current/20/0201.pdf,,"Forest Land. Federal, state and private land growing forest tree species which are, or could be at maturity, capable of furnishing raw material used in the manufacture of lumber or other forest products. The term includes federal, state and private land from which forest tree species have been removed but have not yet been restocked. It does not include land affirmatively converted to uses other than the growing of forest tree species",USA-STATE-Idaho,United States,1974
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Idaho-2005,http://www3.state.id.us/oasis/2005/H0126.html; http://www3.state.id.us/cgi-bin/newidst?sctid=630170001.K,,"""Forest"" means forest land and the timber thereon. ""Forest land"" means privately owned land being held and used primarily for the continuous purpose of growing and harvesting trees of a marketable species. Having met the above criteria, forest land may be further identified by the consideration of any of the following criteria: (a) Forest land is land evidenced by present use and silvicultural treatment. (b) Forest land is land which has a dedicated use that is further evidenced by a forest land management plan that includes eventual harvest of the forest crop. (c) Forest land is land bearing forest growth or land which has not been converted to another use. (d) Forest land is land which has had the trees removed by man through harvest, including clear-cuts or by natural disaster, such as but not limited to fire, and which within five (5) years after harvest or initial assessment will be reforested as specified in the forest practices act (chapter 13, title 38, Idaho Code). and",USA-STATE-Idaho,United States,2005
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Illinois 1996,http://www.legis.state.il.us/ilcs/ch525/ch525act40.htm#Top,,"State forests shall include only such lands as are decided by the Department of Natural Resources to be more valuable for the growing of forests than for other purposes, and shall have for their purpose the production of forest products, the protection of watersheds that are subject to serious erosion, the maintenance of purity of springs and streams and to afford recreation places for the people of the State. (Source: P.A. 89-445, eff. 2-7-96.) Source",USA-STATE-Illinois,United States,1996
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Illinois,http://www.legis.state.il.us/commission/jcar/admincode/017/017015370000010R.html; http://dnr.state.il.us/legal/1537.pdf,,"""Forest"" means an area whose principal crop is trees. and",USA-STATE-Illinois,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Illinois,http://dnr.state.il.us/legal/62-1701.htm,,"""Forestry"" means land used or managed for the long-term production of wood, wood fiber, or wood-derived products. Allowable support facilities include water impoundments, access and fire control lanes, erosion control structures such as grassed waterways, downdrains, terraces and sediment ponds, and other incidental facilities related to sound multiple use management of the forest resource",USA-STATE-Illinois,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Illinois,http://dnr.state.il.us/mines/lrd/guides/citrec7.htm,,"Land used or managed for the long-term production of wood, wood fiber or wood derived products. Land used for facilities in support of forest harvest and management operations that is adjacent to or an integral part of these operations is also included",USA-STATE-Illinois,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Iowa 1999,http://www.legis.state.ia.us/IACODE/1999SUPPLEMENT/161A/42.html,,"""Forest"" means stands of native or introduced trees containing at least two hundred trees per acre and located on privately owned land. However, a stand of fruit trees is not a forest. 1999",USA-STATE-Iowa,United States,1999
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Kansas 1971,,,"An area managed for the production of timber and other forest produce, or maintained under woody vegetation for such indirect benefits as protection of catchment areas or recreation. ""Terminology of Forest Science, Technology, Practice & Products"" SAF, 1971. Robert L. Atchison ratchiso@oznet.ksu.edu",USA-STATE-Kansas,United States,1971
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,Forest land,USA-STATE-Kansas,,,"Land at least 10% stocked by forest trees of any size, or formerly having such tree cover, and not currently developed for non-forest use. Stocking is measured by comparing specified standards with basal area and /or number of trees, age or size and spacing. The minimum area classification for forest land is 1 acre. Roadside, streamside, and shelterbelt strips of timber must have a crown width of at least 120 feet to qualify as forest land. ""An Analysis of the Forest Resources of Kansas"", Leatherberry, Schmidt, Strickler & Aslin, USDA/FS NCRS NC-334. Robert L. Atchison ratchiso@oznet.ksu.edu",USA-STATE-Kansas,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Kentucky,http://www.lrc.state.ky.us/kar/405/030/010.htm,,"Forest land"" means land used or managed for the long-term production of wood, wood fiber, or wood derived products. Land used for facilities in support of forest harvest and management operations which is adjacent to or an integral part of these operations is also included",USA-STATE-Kentucky,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,Forestland,USA-STATE-Kentucky,,,"land at least 10 percent stocked by forest trees of any size, including land that formerly had such cover and that will be naturally or artificially regenerated. The State of Kentucky does not have the terms Forest, Forestland, or Tree officially defined in State Statute or Regulation. The Division of Forestry utilizes the Society of American Forester's definitions for these terms as listed in John A. Helms' The Dictionary of Forestry. Steve.Kull@mail.state.ky.us",USA-STATE-Kentucky,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maine,http://janus.state.me.us/legis/statutes/17/title17sec3853-D.html,,"""Forest land"" means land used for the production of forest products",USA-STATE-Maine,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maine,http://janus.state.me.us/legis/statutes/36/title36sec573.html,,"Forest land. ""Forest land"" means land used primarily for growth of trees to be harvested for commercial use, but does not include ledge, marsh, open swamp, bog, water and similar areas, which are unsuitable for growing a forest product or for harvesting for commercial use even though these areas may exist within forest lands. Source",USA-STATE-Maine,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maine,http://www.state.me.us/revenue/propertytax/Bulletins/Tax%20Bulletin%2019.htm,,"Forestland--means land used primarily for growth of trees to be harvested for commercial use; may be either seedling, pole timber, or saw log stands. Forestland does not include ledge, marsh, open swamp, bog, water and similar areas that are unsuitable for growing a forest product or for harvesting for commercial use even though these areas may exist within forestlands",USA-STATE-Maine,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maine,http://www.google.com/search?q=cache:www.memun.org/municipal_resources/Public_files/TAXDATA/HTML/PropertyTaxBull/html/bulletin19.htm,,"Land used primarily for growth of trees to be harvested for commercial use; may be either seedling, poletimber, or sawlog stands. Land which would otherwise be included in this definition shall not be excluded because of: (1) Multiple use for public recreation; (2) Statutory or governmental restrictions which prevent commercial harvesting of trees or require a primary use of the land other than commercial harvesting; (3) Deed restrictions, restrictive covenants or organizational charters that prevent commercial harvesting of trees or require a primary use of land other than commercial harvesting and that were effective prior to January 1, 1982; or (4) Past or present multiple use for mineral exploration",USA-STATE-Maine,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maine-Acton 2003,http://www.actonmaine.com/warrant/2003/warrant.pdf,,"Forest Land means land used primarily to grow trees to be harvested for commercial use, but does not include marsh, open swamp, bog, water and similar areas, which are unsuitable for growing a forest product or for harvesting for commercial use even though these areas may exist within forest lands",USA-STATE-Maine-Acton,United States,2003
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maryland 1974,http://ia700309.us.archive.org/35/items/landuseclassific209mary/landuseclassific209mary.pdf,,"These lands are at least 10% stocked with trees capable of producing timber or other wood products, and lands dedicated to forest production but temporarily cleared (i.e. logged). This lands include abandoned fields with woody brush that prevents classification as Agricultural land",USA-STATE-Maryland,United States,1974
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA—STATE-Maryland 2007,http://www.dnr.state.md.us/download/reforest.pdf,,"i) ""Forest"" means a biological community dominated by trees or other woody plants covering a land area of 1 acre or more.(ii) ""Forest"" includes an area that has been cut but not cleared of trees or other woody plants. Maryland 2007",USA—STATE-Maryland,,2007
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maryland,http://www.mde.state.md.us/assets/document/sedimentStormwater/MDEFHOESManualDraft063005_glossary.pdf,,Land bearing forest growth or land from which the forest has been removed but which shows evidence of past forest occupancy and which is not now in other use,USA-STATE-Maryland,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maryland-1974,http://ia700309.us.archive.org/35/items/landuseclassific209mary/landuseclassific209mary.pdf,,Forest land are lands that are at least 10 percent stocked with trees capable of producing timber or other wood products that exert an influence on climate or water regime. Lands from which trees have been removed to less than 10 percent stocking but which have not been developed for other use are also included,USA-STATE-Maryland,United States,1974
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maryland-Easton,http://www.town-eastonmd.com/Planning/fco/fco_a002.pdf,,"""Forest"" means a biological community dominated by trees and other woody plants covering a land area of 10,000 square feet or greater. B. ""Forest"" includes: (1) Areas that have at least 100 live trees per acre with at least 50 percent of those trees having a 2-inch or greater diameter at 4.5 feet above the ground and larger; and (2) Areas that have been cut but not cleared. C. ""Forest"" does not include orchards",USA-STATE-Maryland-Easton,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maryland-Rockville 2009,http://www.rockvillemd.gov/e-gov/rec-parks/ForestConservationManual.pdf,,"“forest"" means (1) a contiguous biological community dominated by trees and other woody plants covering a land area of five thousand (5,000) square feet or greater. (2) ""Forest"" includes:a. Areas that have at least one hundred (100) live trees per acre with at least fifty (50) percent of those trees having a two-inch or greater diameter at four and one-half (4.5) feet above the ground and larger; and b. Areas that have been cut but not cleared. (3) ""Forest"" does not include orchards. “Rockville, Maryland. 2009",USA-STATE-Maryland-Rockville,United States,2009
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Maryland-Rockville,http://www.ci.rockville.md.us/cityprojects/envguide/eggloss.htm,,"A biological community dominated by trees and other woody plants covering a land area of 10,000 square feet or greater. Forest includes: (1) Areas that have at least 100 trees per acre with at least 50 percent of those trees having a 2-inch or greater dbh. (2) Forest areas that have been cut, but not cleared. Forest does not include orchards",USA-STATE-Maryland-Rockville,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Massachusetts,http://www.state.ma.us/dem/regs/304011c.htm,,Forest Land means land with at least 15% of the area occupied by the crowns of forest trees of any size that contains at least 7.5 square feet of basal area per acre; or that is a plantation containing at least 500 trees per acre; or land recently harvested that is in the process of regeneration,USA-STATE-Massachusetts,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Massachusetts,http://www.daviesand.com/Laws/Chapter_61/Ch61_Regs/,,"Forest Lands: (1) To be eligible for classification, land must meet the following criteria: (a) be a parcel of land containing ten or more adjacent or contiguous acres; (b) be at least 16 and 7/8% stocked with forest products and contain at least 7 and 5/10 square feet of basal area per acre by forest trees of any size; or formerly had such tree cover and is not currently developed for nonforest use, or is a plantation containing at least 500 trees per acre; and (c) has no subdivision plan on file. (2) The following areas may be included in the calculation of acreage: (a) certain permanent or temporary wetlands, water courses and submerged areas and other minor unproductive areas deemed by the State Forester to be comparable with forest production; (b) cleared rightsofway not exceeding 20 feet in width, including road bed, brushed out road edges, and other reasonable improvements to reduce erosion of the rightofway and to protect forest land, wetlands and stream crossings, or when the primary purpose of the improvement is for forest protection and access for forest management. The maximum width may be exceeded for turnouts, turn arounds or for temporary storage areas for forest products. Source: 304 CMR 8.00: CHAPTER 61, FOREST CLASSIFICATION",USA-STATE-Massachusetts,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Massachusetts,http://www.forestmeister.com/laws/ch61.html,,"Land that is at least sixteen and seven-tenths per cent stocked, that contains at least seven and five-tenths square feet of basal area per acre by forest trees of any size; or that formerly had such tree cover and is not currently developed for non-forest use; or that is a plantation containing at least five hundred trees per acre. [Source Chapter 61 Massachusetts Taxation Law - ]",USA-STATE-Massachusetts,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Michigan,http://www.dnr.state.mi.us/www/law/law_book/statutes/code/part501.html,,"""Forest land"" means a tract of land or the timber rights in that land owned or occupied by a member, which land is at least 10% occupied by forest tree species with a growth potential of 50 cubic feet per acre per year and consists of 40 acres or more. Forest land includes land from which forest tree species have been removed and have not been restocked, but does not include land converted to uses other than the growing of forest tree species or land currently zoned for uses incompatible with forest practices",USA-STATE-Michigan,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Michigan,"http://www.michigan.gov/dnr/0,1607,7-153-10367_11851-24039--,00.html",,"""Forest land"" means timbered land, potential timber-producing land, cutover or burned timber land or grass lands not including lands devoted to agriculture",USA-STATE-Michigan,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Michigan,http://www.michiganlegislature.org/law/getObject.asp?objName=324-51101&objType=section&highlight=forest,,"d) "" Forest land"" means a tract of land that may include nonproductive land that is intermixed with productive land that is an integral part of a managed forest and that meets all the following: (i) Does not have material natural resources other than those resources suitable for forest growth or the potential for forest growth. (ii) Is not used for agricultural, mineral extraction except as provided in section 51113, grazing, industrial, developed recreational, residential, resort, commercial, or developmental purposes. (iii) The owner agrees to develop, maintain, and actively manage the land as a commercial forest through planting, natural reproduction, or other silvicultural practices. Source",USA-STATE-Michigan,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Michigan 2002,https://www.legislature.mi.gov/(S(tirvdsukrupau3mkfduqnn55))/documents/mcl/pdf/mcl-chap320.pdf,,"“Forest” means a tract of land that is at least 10% stocked by trees of any size, whether of commercial or noncommercial species, or formerly having tree cover and not currently developed for nonforest use, including woodlands, woodlots, windbreaks, and shelter belts",USA-STATE-Michigan,United States,2002
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-State-Minnesota 2009,https://www.revisor.mn.gov/statutes/?id=88.01,,"""Forest land"" means land which is at least ten percent stocked by trees of any size and capable of producing timber, or of exerting an influence on the climate or on the water regime; land from which the trees described above have been removed to less than ten percent stocking and which has not been developed for other use; and afforested areas",USA-State-Minnesota,United States,2009
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Minnesota,http://www.revisor.leg.state.mn.us/stats/89/51.html,,"Forest land or forest. Forest land or forest, means land on which occurs a stand or potential stand of trees valuable for timber products, watershed or wildlife protection, recreational uses or other purposes, and shall include lands owned or controlled by the state of Minnesota",USA-STATE-Minnesota,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Montana 1996,http://data.opi.mt.gov/bills/1997/Bills/Senate/SB0100_ENR.htm,,"""Forest"" means forest land and the timber on the land. (5) ""Forest land"" means contiguous land of 15 acres or more in one ownership that is capable of producing timber that can be harvested in commercial quantity and is producing timber unless the trees have been removed by man through harvest, including clearcuts, or by natural disaster, including but not limited to fire. Forest land includes land: (a) that has not been converted to another use",USA-STATE-Montana,United States,1996
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Montana,http://data.opi.state.mt.us/bills/mca/15/44/15-44-102.htm,,"""Forest land"" means contiguous land of 15 acres or more in one ownership that is capable of producing timber that can be harvested in commercial quantity and is producing timber unless the trees have been removed by man through harvest, including clearcuts, or by natural disaster, including but not limited to fire. Forest land includes land: a) that has not been converted to another use; and b) on which the annual net wood production equals or exceeds 25 cubic feet an acre at the culmination of mean annual increment",USA-STATE-Montana,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Nevada,http://www.leg.state.nv.us/NRS/NRS-527.html,,"“Forest” or “forest land” means land on which occurs a stand or potential stand of trees valuable for timber products, watershed or wildlife protection, recreational uses or for other purposes",USA-STATE-Nevada,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Nevada,http://www.state.nv.us/cnr/ndwp/dict-1/WORD_F.htm; http://www.nalms.org/glossary/lkword_f.htm; http://www.dcnr.nv.gov/nrp/y-tr1nrp.pdf; http://www.safc.org/resources/glossary.htm#definitions,,"Land which is at least 10 percent occupied by forest trees of any size or formerly having had such tree cover and not currently developed for non-forest use. Lands developed for non-forest use include areas for crops, improved pasture, residential, or administrative areas, improved roads of any width, and adjoining road clearing and power line clearing of any width. Water Words Dictionary, Lake and Water Words Glossary, and (36 CFR 219.3",USA-STATE-Nevada,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-New York,http://www.dec.state.ny.us/website/regs/199.htm,,"Forest land means land primarily devoted to and suitable for forest crop production under accepted evenaged or unevenaged forest management systems through natural regeneration or through forestation and sufficiently stocked with forest trees to produce a merchantable forest crop within 30 years of time of original certification. Forest land shall consist of a stand or stands of commercial species of forest trees which contain at least either 500 stems per acre or 60 square feet of basal area per acre which shall be evenly distributed over the area of the stand. The department may approve a smaller number of planted trees per acre if the resulting spacing between trees is appropriate for satisfactory growth for the species being planted. For natural seedlings to be part of a stand, they must be at least one foot in height, and planted trees must be at least in their third growing season on the site",USA-STATE-New York,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,Forestland,USA-STATE-North Carolina 1990,,,"Land at least 16.7 percent stocked by forest trees of any size, or formerly having had such tree cover, and not currently developed for nonforest use. Source: Forest Statistics for North Carolina, 1990. Resource Bulletin SE-120, by Tony G. Johnson. USDA-Forest Service, Southeastern Forest",USA-STATE-North Carolina,United States,1990
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-North Carolina,http://www.cals.ncsu.edu/wq/LandPreservationNotebook/statutes/nc/presentusevalue.htm,,"Individually owned forestland consisting of one or more tracts, one of which consists of at least 20 acres that are in actual production and are not included in a farm unit",USA-STATE-North Carolina,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-North Carolina,http://www.cals.ncsu.edu/wq/LandPreservationNotebook/statutes/nc/presentusevalue.htm; http://www.co.forsyth.nc.us/tax/defermnt.htm,,"Land that is a part of a forest unit that is actively engaged in the commercial growing of trees under a sound management program. Forestland includes wasteland that is a part of the forest unit, but the wasteland included in the unit shall be appraised under the use-value schedules as wasteland. A forest unit may consist of more than one tract of forestland, but at least one of the tracts must meet the requirements in G.S. 105-277.3(a)(3), and each tract must be under a sound management program. and",USA-STATE-North Carolina,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-North Carolina-Counties,http://www.lincolncounty.org/County/Departments/Tax/LandUseValueQualifications.htm; http://www.co.anson.nc.us/assessor/defermnt.htm; http://www.co.chatham.nc.us/dept/tax/web/Listing.htm,,"Forestland means land that is a part of a forest unit that is actively engaged in the commercial growing of trees under a sound management program. Forestland includes wasteland that is a part of the forest unit, but the wasteland included in the unit shall be appraised under the use value schedules as wasteland. The requirements for a forestland deferment are as follows: May consist of more than one tract of forestland, but at least one of the tracts must meet the qualification requirements and each tract must be under a sound management program. One tract must consist of at least 20 acres that are in actual production and are not included in a farm unit. If individually owned, the property must be the owner's residence or have been owned by the current owner or a relative of the current owner for four years preceding January 1 of the year in which the benefit is claimed. and",USA-STATE-North Carolina-Counties,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Ohio 2001,http://www.ohiodnr.com/forestry/rules/pdf/3-10-01.pdf; http://auditor.cuyahoga.oh.us/auditor/appraisal/forestland.htm,,"""Forest land"" means land for which the primary purpose is the growing, managing and harvesting of a merchantable forest product of commercial species under accepted silvicultural systems through natural or artificial reforestation methods and for which there is an approved forest management plan. The forest land shall consist of a stand or stands of commercial species of forest trees which contain at least fifty square feet of basal area or at least three hundred stems per acre which shall be evenly distributed throughout the stand. and",USA-STATE-Ohio,United States,2001
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oklahoma 2003,,,"Forest means a tract of land that is at least ten percent (10%) stocked by trees of any size, whether of commercial or noncommercial species, or formerly having tree cover and not currently developed for nonforest use, including woodlands, woodlots, windbreaks, and shelterbelts; www.lsb.state.ok.us/2003-04SB/sb606_cs.rtf",USA-STATE-Oklahoma,United States,2003
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oklahoma,http://oklegal.onenet.net/oklegal-cgi/isearch,,"""Forests"" means forest land that is at least ten percent (10%) stocked by forest trees of any size, whether of commercial or noncommercial species, or formerly having such tree cover and not currently developed for nonforest use, including woodlands, woodlots, windbreaks and shelterbelts; Source: &sect;2-1301-102",USA-STATE-Oklahoma,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://arcweb.sos.state.or.us/rules/OARS_600/OAR_629/629_022.html,,"""Forestland"" means land zoned in a county comprehensive plan for forest or farm use that is capable of producing commercial hardwood or softwood timber, regardless of the vegetation currently on the land",USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://www.savinggraves-us.org/or/laws/308a.htm,,"“Forestland"" means forestland that is a parcel of land of more than 10 acres that has been zoned in the comprehensive plan for exclusive farm use, forest use or farm and forest use and that is, as of the assessment date for which value for the forest homesite is being determined: (a) Land that has as its highest and best use the growing and harvesting of trees of a marketable species; (b) Land that has been designated as forestland under ORS 321.257 to 321.390 or 321.805 to 321.825; or (c) Land that has been classified under ORS 321.705 to 321.765",USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://www.leg.state.or.us/ors/321.html; http://www.leg.state.or.us/99reg/measures/sb1100.dir/sb1151.en.html,,Any land producing forest products. and,USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://rredc.nrel.gov/biomass/states/bio_glossary/glossary.html,,"Any land that is capable of producing or has produced forest growth or, if lacking forest growth, has evidence of a former forest and is not now in other use",USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://159.121.125.11/forasst/Library/Pub/UrbanFP.pdf; http://www.cof.orst.edu/cof/teach/for442/odfdefin.htm; http://arcweb.sos.state.or.us/rules/OARS_600/OAR_629/629_600.html,,"Forestland” means land used for the growing and harvesting of forest tree species, regardless of how the land is zoned, taxed or how any state statutes or local ordinances, rules or regulations are applied. , and",USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://159.121.125.11/rp/Far/crt5ind26.asp#SelectRef,,"Land at least 10% stocked by forest trees of any size, including land that formerly had such tree cover and that will be regenerated. Strips of forest must have a crown width of 36.58 meters to qualify as forestland",USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon,http://www.law.utexas.edu/dawson/nuisance/or_nuis.htm,,Land that is used for the growing and harvesting of forest tree species,USA-STATE-Oregon,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon-Klamath County,http://www.co.klamath.or.us/ComDevelopment/Planning/GOAL4.pdf,,"Forest lands are (1) lands composed of existing and potential forest lands suitable for commercial forest uses; (2) other forested lands needed for watershed protection, wildlife and fish habitat, and recreation; (3) lands where extreme conditions of climate, soil and topography require the maintenance of vegetative cover irrespective of use; and (4) other forested lands in urban and agricultural areas that provide urban buffers, wind breaks, wildlife and fish habitat, livestock, scenic corridors and recreation use",USA-STATE-Oregon-Klamath County,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Oregon-Multnomah Co.,http://www2.co.multnomah.or.us/Community_Services/LUT-Planning/urban/CRGNSAPlan/PartII/NSAMP_PII_C2Forest.htm,,Those lands used or suitable for the production of forest products,USA-STATE-Oregon-Multnomah Co,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Pennsylvania,http://www.pacode.com/secure/data/025/0088.html,,"Land used for the long-term production of wood, wood fiber or wood-derived products; watershed protection or site stabilization and for the production, protection and management of species of fish and wildlife. Land used for facilities in support of forestry and watershed management operations which is adjacent to or an integral part of these operations is also included",USA-STATE-Pennsylvania,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Rhode Island,http://www.state.ri.us/dem/pubs/regs/regs/forest/altgrant.pdf,,"“Forestland” means any tract or contiguous tracts of land, five (5) acres or more bearing a dense growth of trees, young regenerating forest, and having either the quality of selfperpetuation, or being dependent upon its development by the planting and replanting",USA-STATE-Rhode Island,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,I c Forestland,USA-STATE-Rhode Island,http://rredc.nrel.gov/biomass/doe/rbep/ri_wd_waste/one.html,,"I.2.c. Forestland - In this report, forestland is defined in the same way as ""commercial forestland,"" and is based on the standard definition developed by the USDA Forest Service. According to the Forest Service, ""Commercial forestland is land that is capable of producing more than 20 cubic feet of biomass per acre per year.""",USA-STATE-Rhode Island,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-Rhode Island,http://farm.fic.niu.edu/fic/laws/state/ri44271.html; http://www.state.ri.us/dem/pubs/regs/regs/agric/ffosimp.pdf,,"The term ""forest land"" means any tract or contiguous tracts of land, ten (10) acres or larger bearing a dense growth of trees, including any underbrush thereon, and having either the quality of self perpetuation, or being dependent upon its development by the planting and replanting of trees in stands of closely growing timber, actively managed under a forest management plan approved by the director of environmental management. and",USA-STATE-Rhode Island,United States,
BASIC TERMS,FOREST/FOREST LAND,"State, province and local definitions.",As a land use type,,USA-STATE-South Carolina 2009,http://www.scstatehouse.gov/code/t48c029.htm; http://www.lpitr.state.sc.us/code/t48c029.htm,,"Forest land"" or ""forest"" means land supporting a stand or potential stand of trees valuable for timber products, watershed or wildlife protection, recreational uses, or for other purposes. South Carolina South Carolina Code of Laws (Unannotated) Current through the end of the 2009 Session and",USA-STATE-South Carolina,United States,2009
